WBS_1,WBS_2,WBS_3,WBS_4,DESCRIPTION,UNIT,SUB,L1,1M,L2,L3,MC1,MC2,MC3,MC4,MC5,MC6,L4,L4M,External,QTY,MAT,LAB,TOTAL,AMOUNT
PRELIMINARIES,Office,Office,Office,Site office,Ls.,,,,,,,,,,,,,,,1.00,2500000.00,0.00,2500000.00,2500000.00
PRELIMINARIES,Labor Camp,Labor Camp,Labor Camp,Labor camp,Ls.,,,,,,,,,,,,,,,1.00,10000000.00,0.00,10000000.00,10000000.00
PRELIMINARIES,Temp.Fence,Temp.Fence,Temp.Fence,Temp.Fence,Ls.,,,,,,,,,,,,,,,1.00,500000.00,0.00,500000.00,500000.00
PRELIMINARIES,Other,Other,Other,Other,Ls.,,,,,,,,,,,,,,,1.00,2500000.00,0.00,2500000.00,2500000.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Piling,1.00m dia. pile cut-off.,No.,106.00,,,,,,,,,,,,,,106.00,335.00,1730.00,2065.00,218890.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Piling,1.20m dia. pile cut-off.,No.,70.00,,,,,,,,,,,,,,70.00,335.00,2120.00,2455.00,171850.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Piling,1.50m dia. pile cut-off.,No.,2.00,,,,,,,,,,,,,,2.00,450.00,3460.00,3910.00,7820.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Piling,"Pile head disposal, off-site.",No.,178.00,,,,,,,,,,,,,,178.00,0.00,1325.00,1325.00,235850.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],Excavation to footing,M3,15008.00,,,,,,,,,,,,,,15008.00,0.00,110.00,110.00,1650880.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Remove excavation material, off-site",M3,6837.00,,,,,,,,,,,,,,6837.00,0.00,70.00,70.00,478590.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],Back fill by existing soil.,M3,8165.00,,,,,,,,,,,,,,8165.00,0.00,110.00,110.00,898150.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],Existing grade compaction,M2,0.00,,,,,,,,,,,,,,0.00,0.00,35.00,35.00,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Compacted sand, 50 100 mm thick",M2,82.00,,,,,,,,,,,,,,820.00,95.00,15.00,110.00,90200.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Lean concrete, 50 100 mm thick",M2,82.00,,,,,,,,,,,,,,820.00,165.00,70.00,235.00,192700.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],Concrete 320ksc. cylinder test,M3,1858.00,,,,,,,,,,,,,,1858.00,1985.00,265.00,2250.00,4180500.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],Formworks,M2,1220.00,,,,,,,,,,,,,,1220.00,195.00,260.00,455.00,555100.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SR24, 6mm dia.",KG.,0.00,,,,,,,,,,,,,,0.00,24.00,5.50,29.50,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SR24, 9mm dia.",KG.,0.00,,,,,,,,,,,,,,0.00,23.00,5.50,28.50,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SD40, 10mm dia.",KG.,0.00,,,,,,,,,,,,,,0.00,23.00,5.50,28.50,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SD40, 12mm dia.",KG.,279.00,,,,,,,,,,,,,,279.00,22.50,5.00,27.50,7672.50
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SD40, 16mm dia.",KG.,27341.00,,,,,,,,,,,,,,27341.00,22.00,5.00,27.00,738207.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SD50, 20mm dia.",KG.,10179.00,,,,,,,,,,,,,,10179.00,22.50,4.50,27.00,274833.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SD50, 25mm dia.",KG.,89151.00,,,,,,,,,,,,,,89151.00,22.50,4.50,27.00,2407077.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SD50, 28mm dia.",KG.,178586.00,,,,,,,,,,,,,,178586.00,22.50,4.50,27.00,4821822.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],"Rebar SD50, 32mm dia.",KG.,108769.00,,,,,,,,,,,,,,108769.00,22.50,4.50,27.00,2936763.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Foundation [F1-F12],Allow for Shear Key,KG.,0.00,,,,,,,,,,,,,,0.00,24.00,5.50,29.50,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Mat Foundation [F66],"Excavation to footing (Include in F1,F2)",M3,0.00,,,,,,,,,,,,,,0.00,0.00,110.00,110.00,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Mat Foundation [F66],"Remove excavation material, off-site (Include in F1,F2)",M3,0.00,,,,,,,,,,,,,,0.00,0.00,70.00,70.00,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Mat Foundation [F66],"Back fill by existing soil. (Include in F1,F2)",M3,0.00,,,,,,,,,,,,,,0.00,0.00,110.00,110.00,0.00
STRUCTURE,SUBSTRUCTURE,FOUNDATION,Mat Foundation [F66],Existing grade compaction,M2,0.00,,,,,,,,,,,,,,0.00,0.00,35.00,35.00,0.00
